QuestionType,Question,QuestionID,Answer,TimeSeconds
radio,Find the liver model showing the anatomy of the liver. Understand the 3D orientation of the liver and identify the Inferior Vena Cava by highlighting it. When viewing the back side of the liver which structure runs along the back surface of the liver?,q1,4,6.73
radio,Find the liver model showing the anatomy of the liver and make the surface transparent so you can see the structures inside. Then locate and highlight the gallbladder.Where is the gallbladder located relative to the liver?,q2,4,1.54
radio,Find the liver model showing the segmentations of the liver and highlight the 4th segment of the liver. How many segments does the liver contain?,q6,4,1.54
radio,You are preparing to review the anatomy of patient 6 but first you need to confirm the primary reason for admission. Access the patients's general info and identify the working diagnosis.,q4,4,3.77
radio,You are reviewing saftey protocols. Identify if patient 18 has any allergies and if so to what.,q5,4,37.56
radio,You are searching through a medical database. Search through the patient liver models and find a patient that has no tumors at all. Find what medications this patient is on.,q6,3,

